body_name,body_label,assembly,mate_name,good_face_normal,thickness_mm,width_mm,height_mm,area_mm2,wire_count,edge_count,dxf_file
Cabinet1DrawerHighSlideLayer2Body,Drawer slide — high side — layer 2,Cabinet 1 drawer,Cabinet1DrawerHighSlideLayer1Body,+Y,5.7999999999999545,928.4,25.400000000000016,23386.358811333,3,6,profiles/Cabinet1DrawerHighSlideLayer2Body.dxf
Cabinet1DrawerCabinetLowSupportLayer3Body,Cabinet 1 drawer cabinet lowsupport strip — layer 3,Cabinet 1 — front left,Cabinet1DrawerCabinetLowSupportLayer4Body,-Y,5.800000000000001,914.8,25.400000000000016,23040.91881133287,3,6,profiles/Cabinet1DrawerCabinetLowSupportLayer3Body.dxf
Cabinet1DrawerCabinetLowSupportLayer4Body,Cabinet 1 drawer cabinet lowsupport strip — layer 4,Cabinet 1 — front left,Cabinet1DrawerCabinetLowSupportLayer3Body,+Y,5.799999999999997,914.8,25.400000000000016,23040.918811332886,3,6,profiles/Cabinet1DrawerCabinetLowSupportLayer4Body.dxf
Cabinet1DrawerCabinetLowAntiTipLayer3Body,Cabinet 1 drawer cabinet lowantitip strip — layer 3,Cabinet 1 — front left,Cabinet1DrawerCabinetLowAntiTipLayer4Body,-Y,5.800000000000001,914.8,25.400000000000016,23040.91881133287,3,6,profiles/Cabinet1DrawerCabinetLowAntiTipLayer3Body.dxf
Cabinet1DrawerCabinetLowAntiTipLayer4Body,Cabinet 1 drawer cabinet lowantitip strip — layer 4,Cabinet 1 — front left,Cabinet1DrawerCabinetLowAntiTipLayer3Body,+Y,5.799999999999997,914.8,25.400000000000016,23040.918811332886,3,6,profiles/Cabinet1DrawerCabinetLowAntiTipLayer4Body.dxf
Cabinet1DrawerCabinetHighSupportLayer3Body,Cabinet 1 drawer cabinet highsupport strip — layer 3,Cabinet 1 — front left,Cabinet1DrawerCabinetHighSupportLayer4Body,+Y,5.7999999999999545,914.8,25.400000000000016,23040.918811332987,3,6,profiles/Cabinet1DrawerCabinetHighSupportLayer3Body.dxf
Cabinet1DrawerCabinetHighSupportLayer4Body,Cabinet 1 drawer cabinet highsupport strip — layer 4,Cabinet 1 — front left,Cabinet1DrawerCabinetHighSupportLayer3Body,-Y,5.7999999999999545,914.8,25.400000000000016,23040.918811332987,3,6,profiles/Cabinet1DrawerCabinetHighSupportLayer4Body.dxf
Cabinet1DrawerCabinetHighAntiTipLayer3Body,Cabinet 1 drawer cabinet highantitip strip — layer 3,Cabinet 1 — front left,Cabinet1DrawerCabinetHighAntiTipLayer4Body,+Y,5.7999999999999545,914.8,25.400000000000016,23040.918811332995,3,6,profiles/Cabinet1DrawerCabinetHighAntiTipLayer3Body.dxf
Cabinet1DrawerCabinetHighAntiTipLayer4Body,Cabinet 1 drawer cabinet highantitip strip — layer 4,Cabinet 1 — front left,Cabinet1DrawerCabinetHighAntiTipLayer3Body,-Y,5.7999999999999545,914.8,25.400000000000016,23040.918811332995,3,6,profiles/Cabinet1DrawerCabinetHighAntiTipLayer4Body.dxf
Cabinet1DrawerCabinetLowChannelBackLayer1Body,Cabinet 1 drawer cabinet low channel back — layer 1,Cabinet 1 — front left,Cabinet1DrawerCabinetLowChannelBackLayer2Body,-Y,5.799999999999999,914.8,79.20000000000002,71187.19518537333,7,14,profiles/Cabinet1DrawerCabinetLowChannelBackLayer1Body.dxf
